model,mode,class,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large,Precision_conf025_iou05,Recall_conf025_iou05
e1,oracle_utility_top2_standard,awning-tricycle,0.1406048510804417,0.21461363451086662,0.15491469844403638,0.11584248435490815,0.17293715091660256,0.2267326732673267,0.38642297650130547,0.2781954887218045
e1,oracle_utility_top2_standard,bus,0.5205863887384153,0.7153207282034135,0.5981254091600666,0.3455520826398903,0.5967379701751404,0.8160763959685093,0.7788018433179723,0.6733067729083665
e1,oracle_utility_top2_standard,motor,0.32891467459747636,0.658969495236402,0.2850288364370113,0.30095414422455896,0.4393519000650069,0.24215464403583215,0.6223943921785648,0.6905444126074498
e1,proxy_b1p50_standard,pedestrian,0.3484707741882911,0.6886695552612723,0.2978621595692279,0.321998861823852,0.5034086091436222,0.721071341349768,0.6389146806974105,0.7002487562189055
e1,proxy_b1p50_standard,people,0.2329358419910954,0.5429788832323987,0.15187121859829414,0.2269535746441614,0.3102740521904604,0.35940594059405945,0.602051282051282,0.5726829268292682
e1,proxy_b1p50_standard,bicycle,0.18261845890226308,0.3638987715506488,0.15405621635277703,0.1475431719340995,0.3334397882117986,0.3227722772277228,0.3835051546391753,0.43356643356643354
e1,proxy_b1p50_standard,car,0.6440266075822602,0.8889922564994236,0.7259043562030514,0.503131980970642,0.749236664944431,0.8513119904696003,0.760614056128568,0.9018771331058021
e1,proxy_b1p50_standard,van,0.38106370929334443,0.5187781390124517,0.44376149460976316,0.251357831540147,0.5061374084486324,0.44589640201697345,0.541743119266055,0.5979746835443038
e1,proxy_b1p50_standard,truck,0.3393342826269229,0.493701880681918,0.37063352939979816,0.1815921903184894,0.38028360983880183,0.639446876594405,0.4993894993894994,0.5453333333333333
e1,proxy_b1p50_standard,tricycle,0.2417719573146761,0.4130983129195964,0.2458283685681412,0.20363237298606168,0.3037749543182291,0.3987260149091832,0.46013864818024264,0.508133971291866
e1,proxy_b1p50_standard,awning-tricycle,0.1407291546736526,0.21712910052260004,0.15331577603373595,0.11911412813053103,0.17319200178486813,0.18712871287128707,0.371824480369515,0.3026315789473684
e1,proxy_b1p50_standard,bus,0.518676032223623,0.7099941801309303,0.5921762887447041,0.34877827563703806,0.5866646213641791,0.8195943723518377,0.7341772151898734,0.6932270916334662
e1,proxy_b1p50_standard,motor,0.32776568172322806,0.6598320442693144,0.2774704119273375,0.3014830462284923,0.43923101785938035,0.24215464403583215,0.5864354920958694,0.7060990585345887
e1,oracle_utility_b1p50_standard,pedestrian,0.35069202905897057,0.6912788414753104,0.3112703135743443,0.3242872993159525,0.5033974032928955,0.7203481616972768,0.6997401370186629,0.6698326549072817
e1,oracle_utility_b1p50_standard,people,0.23653363459470206,0.5493621071499343,0.16308113724525106,0.23103981327748024,0.3110904207726755,0.35940594059405945,0.6460573476702509,0.5627317073170731
e1,oracle_utility_b1p50_standard,bicycle,0.1742395298428858,0.350981026324109,0.14682550094502209,0.1403767475334149,0.320885002310029,0.3227722772277228,0.40863531225905936,0.41181041181041184
e1,oracle_utility_b1p50_standard,car,0.6415964368429183,0.8872342906180399,0.7273003791246776,0.503197974800134,0.7452374224302115,0.8532294706399518,0.7909085185418372,0.893202502844141
e1,oracle_utility_b1p50_standard,van,0.37621462186650334,0.5115001780168643,0.4367493757675305,0.24396004576104127,0.5023818332068537,0.4631880746643993,0.5825292026409344,0.5807594936708861
e1,oracle_utility_b1p50_standard,truck,0.33838409559993055,0.4967935226809708,0.36804246058623424,0.18144604400425338,0.3761384273834725,0.644905972057408,0.5687409551374819,0.524
e1,oracle_utility_b1p50_standard,tricycle,0.24205029675121467,0.41110851622998384,0.2495001311419111,0.20144317258681443,0.3069557567514322,0.39748895653221955,0.5150905432595574,0.48995215311004786
e1,oracle_utility_b1p50_standard,awning-tricycle,0.1374560708888493,0.20940868698998877,0.1514719265495168,0.11203403546274379,0.1706471846245089,0.2333333333333333,0.3961218836565097,0.26879699248120303
e1,oracle_utility_b1p50_standard,bus,0.5212324642915847,0.7169908231784207,0.5989827491678518,0.3431270932863459,0.5976413103916571,0.8160763959685093,0.7897196261682243,0.6733067729083665
e1,oracle_utility_b1p50_standard,motor,0.3294977916015099,0.6591714483021079,0.2845251206791162,0.3017499482876793,0.43851143668333825,0.24215464403583215,0.6309321232747211,0.6829717560376586
e1,proxy_b1p50_oracle_validity,pedestrian,0.37315035077622016,0.7426070417262164,0.31515183547778824,0.3489955072112264,0.5148560338213712,0.721071341349768,0.7568336425479283,0.6918815015829941
e1,proxy_b1p50_oracle_validity,people,0.2530483894120805,0.5872425057270313,0.1644157060343956,0.2480970423611607,0.3219182413907769,0.35940594059405945,0.6804705882352942,0.5642926829268292
e1,proxy_b1p50_oracle_validity,bicycle,0.20330207229531763,0.4081575152978093,0.16871825087508702,0.17139490397963253,0.3440700862519265,0.3227722772277228,0.475,0.4281274281274281
e1,proxy_b1p50_oracle_validity,car,0.654318208966178,0.9061403056934374,0.735845699437791,0.5228025990329733,0.7547229549277743,0.8515422683944629,0.8135658665293777,0.8988907849829352
e1,proxy_b1p50_oracle_validity,van,0.40568649497893394,0.5548544102882631,0.4743102517360761,0.2800849744551293,0.5325060871136164,0.4576867421661543,0.6360691144708424,0.5964556962025317
e1,proxy_b1p50_oracle_validity,truck,0.3796879445421477,0.5622890128127115,0.410748888794395,0.24524391846726953,0.4133395005734334,0.6673112248006302,0.6716417910447762,0.54
e1,proxy_b1p50_oracle_validity,tricycle,0.2763180398017531,0.4726330256135757,0.2791790268573671,0.24725886113581325,0.3318743691491742,0.3994953258483743,0.5761226725082147,0.5033492822966508
