outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
zero_in_gt,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.0,0.0,0.0,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_total,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,8.448539394410487,8.480049164529085,-0.03150977011859801,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_total,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,7.495468678209378,8.00938987876338,-0.5139212005540026,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_final_positive,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.010046731738033193,0.0012207344756147336,0.00882599726241846,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
conflict_loss_fraction,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.1206653438426018,0.06193142358506461,0.058733920257537195,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_mean,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.32273268020901696,0.5027193841095319,-0.1799867039005149,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_max,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.6327062766509634,0.8329932397429278,-0.20028696309196448,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
p2_final_share,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.7807765214321142,0.7700651644513067,0.010711356980807496,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P2,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,12.224396338454136,13.22688161114238,-1.0024852726882436,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P2,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,6.677158349650146,6.5367387566149,0.14041959303524543,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P2,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,5.932627582659112,6.193883179020617,-0.2612555963615044,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P3,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,3.0474314613573177,3.317291606449861,-0.2698601450925433,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P3,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,1.4474936950363888,1.6255591742926048,-0.17806547925621596,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P3,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,1.2771628388623746,1.5240408241926622,-0.2468779853302876,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P4,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.7651526149771676,0.8245368174455153,-0.059384202468347747,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P4,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.2726240953927621,0.27440999721055953,-0.0017859018177974195,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P4,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.23951515440693838,0.25227626141201803,-0.012761107005079653,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P5,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.18922867573126936,0.2109940236018297,-0.021765347870560336,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P5,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.05126325433118954,0.0433412364110203,0.007922017920169243,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P5,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,0.04616310228095195,0.03918961413808328,0.006973488142868668,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_total,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,16.45532483869926,17.884331021559916,-1.4290061828606575,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_in_gt,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.0,0.0,0.0,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_total,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,8.567787262690032,8.599770426034016,-0.03198316334398399,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_total,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,7.608773083033665,8.127798165120906,-0.5190250820872411,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_final_positive,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.009692521395875085,0.0012955621335119568,0.008396959262363128,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
conflict_loss_fraction,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.12002243162964461,0.06147982078001995,0.058542610849624664,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_mean,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.3228645687498527,0.5031553189344368,-0.18029075018458407,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_max,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.6350463739453148,0.8336497497895613,-0.19860337584424648,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
p2_final_share,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.7837997082440559,0.7731582162026018,0.010641492041454037,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P2,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,12.407500912908777,13.45838601002936,-1.0508850971205828,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P2,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,6.795039259087687,6.656517862914934,0.13852139617275316,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P2,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,6.045000211441262,6.313519121211191,-0.268518909769929,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P3,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,3.0824030886616027,3.371157255749564,-0.2887541670879612,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P3,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,1.4518833241890927,1.6269149114563104,-0.17503158726721768,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P3,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,1.2806897920842537,1.5248265988448175,-0.24413680676056382,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P4,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.7761833920817041,0.8400818282818547,-0.06389843620015068,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P4,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.26935048616019863,0.2733657763071646,-0.004015290146965944,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P4,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.23647303132891434,0.25055543366245303,-0.01408240233353869,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P5,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.1892374450471751,0.21470592749913836,-0.02546848245196326,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P5,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.05151419325305681,0.0429718753556088,0.008542317897448012,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P5,10,125,506,8849,17737,6623,16276,0.7484461521075828,0.9176298133844506,3737.7439510341255,0.04661004817923606,0.03889701140244639,0.007713036776789667,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_total,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,16.770703729066746,18.301768814565154,-1.5310650854984083,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_in_gt,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.0,0.0,0.0,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
