model,class,size_bin,density_bin,raw075_group,n,best_raw_iou,best_raw_iou_P2,in_gt_total,in_gt_cap10,zero_in_gt,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,target_weight_max,p2_final_share,in_gt_P2,tal_preconflict_P2,tal_final_P2,in_gt_P3,tal_preconflict_P3,tal_final_P3,in_gt_P4,tal_preconflict_P4,tal_final_P4,in_gt_P5,tal_preconflict_P5,tal_final_P5
E10a,bicycle,16-24,sparse,missing,20,0.6700838476419448,0.6658574968576432,18.7,10.0,0.0,10.0,10.0,0.0,0.0,0.3012084454298019,0.6343144118785858,0.77,13.85,7.7,7.7,3.65,1.9,1.9,0.8,0.3,0.3,0.4,0.1,0.1
E10a,bicycle,16-24,sparse,present,60,0.8511372407277426,0.8433455338080724,23.516666666666666,10.0,0.0,10.0,10.0,0.0,0.0,0.4634046845138073,0.8454849481582641,0.7883333333333334,17.65,7.883333333333334,7.883333333333334,4.366666666666666,1.9333333333333333,1.9333333333333333,1.15,0.16666666666666666,0.16666666666666666,0.35,0.016666666666666666,0.016666666666666666
E10a,bicycle,24-32,dense,missing,11,0.6675018072128296,0.6380651891231537,34.18181818181818,10.0,0.0,10.0,7.545454545454546,0.0,0.24545454545454548,0.3143989484418522,0.6573257419196042,0.6185064935064936,25.272727272727273,6.454545454545454,4.909090909090909,7.2727272727272725,3.272727272727273,2.4545454545454546,1.3636363636363635,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0,0.0
E10a,bicycle,24-32,dense,present,28,0.8631695913416999,0.8390087889773505,30.964285714285715,10.0,0.0,10.0,9.071428571428571,0.0,0.09285714285714286,0.4850785732269287,0.8493284859827587,0.5646825396825397,23.571428571428573,5.535714285714286,5.0,5.857142857142857,3.857142857142857,3.5357142857142856,1.25,0.6071428571428571,0.5357142857142857,0.2857142857142857,0.0,0.0
E10a,bicycle,24-32,middle,missing,37,0.6844643032228624,0.6717208889690606,35.86486486486486,10.0,0.0,10.0,9.864864864864865,0.0,0.013513513513513514,0.29649814057189067,0.6699013814732835,0.7501501501501502,26.945945945945947,7.486486486486487,7.405405405405405,6.513513513513513,2.108108108108108,2.054054054054054,1.8918918918918919,0.32432432432432434,0.32432432432432434,0.5135135135135135,0.08108108108108109,0.08108108108108109
E10a,bicycle,24-32,middle,present,111,0.8528429833618371,0.8385348411293717,37.34234234234234,10.0,0.0,10.0,9.882882882882884,0.0,0.01171171171171171,0.4902005214411933,0.8381009241482159,0.6623373373373374,28.36936936936937,6.63963963963964,6.5675675675675675,6.72972972972973,3.009009009009009,2.963963963963964,1.8468468468468469,0.34234234234234234,0.34234234234234234,0.3963963963963964,0.009009009009009009,0.009009009009009009
E10a,bicycle,24-32,sparse,missing,9,0.6390406224462721,0.6187887887159983,34.44444444444444,10.0,0.0,10.0,10.0,0.0,0.0,0.2595910860432519,0.6242310338550143,0.7777777777777778,26.77777777777778,7.777777777777778,7.777777777777778,5.888888888888889,1.8888888888888888,1.8888888888888888,1.5555555555555556,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.0
E10a,bicycle,24-32,sparse,present,69,0.8681501901668051,0.850246875182442,41.63768115942029,10.0,0.0,10.0,10.0,0.0,0.0,0.512643856630809,0.848947474921959,0.6391304347826087,30.840579710144926,6.391304347826087,6.391304347826087,8.101449275362318,3.347826086956522,3.347826086956522,2.1449275362318843,0.2463768115942029,0.2463768115942029,0.5507246376811594,0.014492753623188406,0.014492753623188406
E10a,bicycle,8-16,dense,missing,102,0.6036526182410764,0.5954668307129074,6.107843137254902,5.892156862745098,0.0,5.823529411764706,3.656862745098039,0.058823529411764705,0.38099128540305005,0.3460976202428962,0.5816987687721848,0.7067708333333332,4.568627450980392,4.352941176470588,2.6372549019607843,1.1666666666666667,1.1176470588235294,0.803921568627451,0.3137254901960784,0.29411764705882354,0.20588235294117646,0.058823529411764705,0.058823529411764705,0.00980392156862745
E10a,bicycle,8-16,dense,present,69,0.8349130533743596,0.8117971463479857,8.507246376811594,7.63768115942029,0.0,7.594202898550725,5.666666666666667,0.0,0.2553025074764205,0.4690609749244607,0.831980237926262,0.7402173913043478,6.565217391304348,5.782608695652174,4.173913043478261,1.5217391304347827,1.4057971014492754,1.1304347826086956,0.36231884057971014,0.34782608695652173,0.30434782608695654,0.057971014492753624,0.057971014492753624,0.057971014492753624
