model,class_id,class_name,images_with_class_weight,AP50_95_percent,AP50_percent,AP75_percent
e8b,10,motor,485,30.963254670586405,63.553283466023515,26.12998342012719
e17a,1,pedestrian,520,33.06610661251578,65.49521951770967,28.563377016574055
e17a,2,people,482,22.280914157632548,51.556908476785345,15.204139154261732
e17a,3,bicycle,364,15.084199041553891,31.278437211996703,11.672551990668993
e17a,4,car,515,63.59668904454435,88.0596310639739,72.03351923850643
e17a,5,van,421,34.047867432546155,46.41330250404533,38.614240556341464
e17a,6,truck,265,31.44475287165576,46.041017769045176,35.46165505166298
e17a,7,tricycle,337,21.946411743181393,38.17661887444212,22.816972173749896
e17a,8,awning-tricycle,219,13.407109660270635,20.292062480550086,15.11996027311961
e17a,9,bus,130,50.4905849809018,66.4897921879608,60.5120501531478
e17a,10,motor,485,31.337621271010885,63.95227261443218,26.895815846885352
e1,1,pedestrian,520,32.62802906637212,65.45796922081617,27.767896689082438
e1,2,people,482,22.239362540099656,51.39444262190462,14.958838610802733
e1,3,bicycle,364,15.555179959331792,31.194054219367395,12.974036823134577
e1,4,car,515,63.74220295611316,88.32532813646799,72.16444939563348
e1,5,van,421,34.565317767853124,47.07884392511379,39.94008651406282
e1,6,truck,265,31.480083965781574,46.40298150458626,34.71482654051531
e1,7,tricycle,337,22.01528178510265,37.497786108487674,22.940682785863356
e1,8,awning-tricycle,219,11.616071629876618,18.1715495047833,12.976642325394478
e1,9,bus,130,50.106900038226236,68.00080109202533,58.50125596451734
e1,10,motor,485,31.62814563248842,64.28582436443797,26.41450553352877
e19a,1,pedestrian,520,32.71125503576689,65.2499618257146,28.55081412252828
e19a,2,people,482,21.70501035666046,50.33415229367243,14.59605533632828
e19a,3,bicycle,364,15.709513950742348,31.51036979518271,13.820351298879821
e19a,4,car,515,63.42738603215908,88.00136317826245,72.13837616647976
e19a,5,van,421,34.91851417063072,47.077415016254896,40.198636428926946
e19a,6,truck,265,31.684805121366345,45.69930997320078,36.062236568388016
e19a,7,tricycle,337,22.50231277702126,38.179337355691295,23.634319828291993
e19a,8,awning-tricycle,219,11.318810651963227,18.09746244703235,12.11874550365889
e19a,9,bus,130,48.91007389556289,64.14260694255296,58.53113728231325
e19a,10,motor,485,31.111826004426206,63.14952306556503,26.10768391290475
e0,1,pedestrian,520,28.497444897103293,58.39101454079978,24.252501834775334
e0,2,people,482,17.68961276016669,42.616155174135855,11.441907491701128
e0,3,bicycle,364,13.961882636659976,27.686862520489374,11.787961053533268
e0,4,car,515,61.48136776286973,85.66106022729242,69.40142517707925
e0,5,van,421,33.44038878208521,45.13186680348682,38.36814224703959
e0,6,truck,265,29.890185290098668,44.07634767173977,32.23479460250408
e0,7,tricycle,337,21.30034957277938,36.30044484161551,22.085332212047838
e0,8,awning-tricycle,219,11.366271988176807,16.88719898454465,12.620698300434693
e0,9,bus,130,47.25327861439351,61.04558797245969,55.56439086175916
e0,10,motor,485,28.535117724578214,58.49453555660116,23.810858930526937
