model,match_type,scale,metric,n,mean,std,median,p25,p75,p90,min,max
A,oracle_best_same_class_nonexclusive,medium,abs_left_error_over_w,11062,0.48945674949134643,2.380746092990301,0.024881162888712234,0.009945208421890735,0.06375848948813756,0.20023424856564198,0.0,40.78849556262548
A,oracle_best_same_class_nonexclusive,medium,abs_right_error_over_w,11062,0.489492295292936,2.391356048361463,0.025513101076510957,0.010129967629441392,0.06316738659285445,0.1907622071287044,0.0,40.125524295729285
A,oracle_best_same_class_nonexclusive,medium,abs_top_error_over_h,11062,0.3036758438247132,1.4334144756886575,0.025104664622812214,0.010391755998739838,0.060223150451790684,0.17728167555862842,0.0,32.36519145378268
A,oracle_best_same_class_nonexclusive,medium,abs_bottom_error_over_h,11062,0.33649722711619806,1.5891516633745633,0.028495414827854754,0.011942953641647094,0.06576906669086185,0.17812818112895534,0.0,38.556228483996335
A,oracle_best_same_class_nonexclusive,medium,left_error_over_w,11062,-0.0179715779395193,2.4304725654278805,0.0020957629818389688,-0.02139250134407087,0.028359799510190895,0.09317122490828031,-40.78849556262548,35.58274256163385
A,oracle_best_same_class_nonexclusive,medium,right_error_over_w,11062,-0.008889834753499342,2.44092347852696,0.0060762642984744375,-0.017018696582254748,0.03178295635675758,0.08622581479807263,-40.125524295729285,35.392754145312594
A,oracle_best_same_class_nonexclusive,medium,top_error_over_h,11062,-0.017468425690918454,1.4651248859193955,-0.0008663069467448023,-0.025539152978866445,0.024708727709446616,0.07378162091061377,-29.678619834078514,32.36519145378268
A,oracle_best_same_class_nonexclusive,medium,bottom_error_over_h,11062,0.002975868691926748,1.6243843563850768,0.0010275604242558417,-0.026646327269296253,0.030048044614863555,0.08088353849109664,-30.054182194488977,38.556228483996335
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.50,11105,0.909860423232778,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.55,11105,0.9023863124718595,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.60,11105,0.8914903196758217,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.65,11105,0.8742008104457452,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.70,11105,0.8416929311121116,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.75,11105,0.7912651958577217,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.80,11105,0.7086897793786583,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.85,11105,0.5864025213867627,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.90,11105,0.389824403421882,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.95,11105,0.1164340387212967,,,,,,,
A,oracle_best_same_class_nonexclusive,large,best_iou,1068,0.858990799242659,0.24345093165710954,0.945518338891273,0.8930053216742881,0.9658317564731244,0.9780071136258223,0.0,0.9978512374113128
A,oracle_best_same_class_nonexclusive,large,score,1063,0.809005232329738,0.21845224432753638,0.8973211050033569,0.8428824245929718,0.9133892059326172,0.9214048862457275,0.0011701142648234963,0.9880586266517639
A,oracle_best_same_class_nonexclusive,large,abs_center_dx_over_w,1063,0.19494467463110948,0.9494098167055096,0.007647737349065826,0.003685361883501877,0.018781740076934797,0.08112006021739664,2.1783563886596597e-05,10.106764269502339
A,oracle_best_same_class_nonexclusive,large,abs_center_dy_over_h,1063,0.1497359166323489,0.6592107484507994,0.00874490275668021,0.004120606981587203,0.02104347691925864,0.08358348758359802,2.35649031135942e-05,7.137454333230067
A,oracle_best_same_class_nonexclusive,large,center_dx_over_w,1063,0.033842283464087276,0.9686264120256864,0.002044148893451153,-0.005728958348262129,0.0098206554111062,0.034502588766914415,-10.106764269502339,8.031108191162838
A,oracle_best_same_class_nonexclusive,large,center_dy_over_h,1063,-0.0934902913929693,0.6695066997559103,0.0010522391372716061,-0.0072068520667273065,0.01042112275576854,0.024824183729915742,-7.137454333230067,4.213172342466601
A,oracle_best_same_class_nonexclusive,large,abs_log_w_ratio,1063,0.07258122203353397,0.22326902874820553,0.017349280117529106,0.006984006303394459,0.040086569147950044,0.12071463210785785,8.240916038178099e-05,2.867339785230787
A,oracle_best_same_class_nonexclusive,large,abs_log_h_ratio,1063,0.07204964145914647,0.18243135186770354,0.020359103322663503,0.008566671806340912,0.04864604790015614,0.14532203641064642,4.50491044927027e-05,1.922854949864628
A,oracle_best_same_class_nonexclusive,large,log_w_ratio,1063,-0.03509557210289936,0.23213227653391585,0.0034002671815484323,-0.014647794191858087,0.01974009039957409,0.04602359695637166,-2.867339785230787,0.4947346021877693
A,oracle_best_same_class_nonexclusive,large,log_h_ratio,1063,-0.031223666162686146,0.19364253574571508,0.001789524865727501,-0.02157155854103616,0.019453649264085528,0.05114534078369689,-1.922854949864628,0.9011838268467903
A,oracle_best_same_class_nonexclusive,large,abs_left_error_over_w,1063,0.19941021091875338,0.9600072858275192,0.010135547964123833,0.004367241392737788,0.02452619966333499,0.08222815116969763,0.0,10.145916415242032
A,oracle_best_same_class_nonexclusive,large,abs_right_error_over_w,1063,0.19959972617699204,0.9418067147853292,0.010405675699496813,0.004494963762906661,0.023970951639871778,0.10912858740483136,0.0,10.067612123762643
A,oracle_best_same_class_nonexclusive,large,abs_top_error_over_h,1063,0.14049072954736103,0.6153807089735855,0.012118414583076893,0.00495597995211038,0.025447513840263374,0.07005356053536353,0.0,6.971425605247705
A,oracle_best_same_class_nonexclusive,large,abs_bottom_error_over_h,1063,0.16857986939531772,0.7050906798579121,0.012194171525632388,0.0041175066788287275,0.029123205409891162,0.12909717604823956,0.0,7.303483061212426
A,oracle_best_same_class_nonexclusive,large,left_error_over_w,1063,0.04223619822849382,0.9795889569711294,-0.00023325381856865624,-0.010744536666803906,0.009762166970925643,0.03267017877754185,-10.145916415242032,8.05414462545794
