model,iou,class,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E10a,0.75,bus,116,0.43103448275862066,66,44,0.3793103448275862,0.6666666666666666,9,0.07758620689655173,0.13636363636363635,10,0.08620689655172414,0.15151515151515152,3,0.02586206896551724,0.045454545454545456,0,0.0,0.0,50,0.43103448275862066,0.7575757575757576,0.2878787878787879
E10a,0.75,car,6910,0.6532561505065123,2396,1487,0.21519536903039074,0.6206176961602671,149,0.021562952243125905,0.06218697829716194,82,0.01186685962373372,0.034223706176961605,611,0.08842257597684515,0.255008347245409,67,0.009696092619392185,0.027963272120200333,4514,0.6532561505065123,1.8839732888146912,0.09641068447412354
E10a,0.75,motor,3978,0.43514328808446456,2247,1297,0.3260432378079437,0.5772140631953716,92,0.023127199597787834,0.040943480195816645,234,0.058823529411764705,0.1041388518024032,572,0.1437908496732026,0.2545616377392078,52,0.013071895424836602,0.023141967067200713,1731,0.43514328808446456,0.7703604806408545,0.14508233199821985
E10a,0.75,pedestrian,7746,0.40549961270333074,4605,2928,0.378001549186677,0.6358306188925081,158,0.020397624580428608,0.034310532030401734,345,0.04453911696359411,0.0749185667752443,1044,0.13477924089852827,0.22671009771986972,130,0.01678285566744126,0.02823018458197611,3141,0.40549961270333074,0.6820846905537459,0.10922909880564603
E10a,0.75,people,4631,0.3314618872813647,3096,2063,0.4454761390628374,0.666343669250646,113,0.02440077736989851,0.03649870801033592,245,0.05290434031526668,0.0791343669250646,591,0.1276182250053984,0.19089147286821706,84,0.01813863096523429,0.027131782945736434,1535,0.3314618872813647,0.4958010335917313,0.11563307493540052
E10a,0.75,tricycle,621,0.32367149758454106,420,172,0.27697262479871176,0.4095238095238095,53,0.0853462157809984,0.1261904761904762,126,0.2028985507246377,0.3,59,0.09500805152979067,0.14047619047619048,10,0.01610305958132045,0.023809523809523808,201,0.32367149758454106,0.4785714285714286,0.4261904761904762
E10a,0.75,truck,289,0.2698961937716263,211,93,0.3217993079584775,0.44075829383886256,20,0.06920415224913495,0.0947867298578199,70,0.2422145328719723,0.33175355450236965,21,0.0726643598615917,0.0995260663507109,7,0.02422145328719723,0.03317535545023697,78,0.2698961937716263,0.3696682464454976,0.4265402843601896
E10a,0.75,van,937,0.3073639274279616,649,210,0.22411953041622198,0.3235747303543914,36,0.0384204909284952,0.05546995377503852,364,0.38847385272145146,0.5608628659476117,31,0.033084311632870865,0.04776579352850539,8,0.008537886872998933,0.012326656394453005,288,0.3073639274279616,0.4437596302003082,0.6163328197226502
E16a,0.5,awning-tricycle,305,0.419672131147541,177,8,0.02622950819672131,0.04519774011299435,31,0.10163934426229508,0.1751412429378531,128,0.419672131147541,0.7231638418079096,4,0.013114754098360656,0.022598870056497175,6,0.019672131147540985,0.03389830508474576,128,0.419672131147541,0.7231638418079096,0.8983050847457628
E16a,0.5,bicycle,1053,0.6163342830009497,404,53,0.050332383665717,0.1311881188118812,51,0.04843304843304843,0.12623762376237624,167,0.15859449192782527,0.41336633663366334,56,0.05318138651471985,0.13861386138613863,77,0.0731244064577398,0.1905940594059406,649,0.6163342830009497,1.6064356435643565,0.5396039603960396
E16a,0.5,bus,116,0.4827586206896552,60,7,0.0603448275862069,0.11666666666666667,9,0.07758620689655173,0.15,35,0.3017241379310345,0.5833333333333334,3,0.02586206896551724,0.05,6,0.05172413793103448,0.1,56,0.4827586206896552,0.9333333333333333,0.7333333333333333
E16a,0.5,car,6910,0.9254703328509407,515,215,0.031114327062228653,0.4174757281553398,58,0.008393632416787264,0.11262135922330097,66,0.009551374819102749,0.12815533980582525,75,0.01085383502170767,0.14563106796116504,101,0.014616497829232996,0.19611650485436893,6395,0.9254703328509407,12.41747572815534,0.2407766990291262
E16a,0.5,motor,3978,0.8514328808446455,591,122,0.030668677727501256,0.20642978003384094,62,0.01558572146807441,0.10490693739424704,281,0.0706385118149824,0.4754653130287648,64,0.01608848667672197,0.10829103214890017,62,0.01558572146807441,0.10490693739424704,3387,0.8514328808446455,5.730964467005077,0.5803722504230119
E16a,0.5,pedestrian,7746,0.7997676219984509,1551,490,0.0632584559772786,0.3159252095422308,113,0.014588174541698942,0.07285622179239201,506,0.06532403821327136,0.3262411347517731,179,0.023108701265169118,0.1154094132817537,263,0.03395300800413117,0.16956802063185042,6195,0.7997676219984509,3.9941972920696327,0.39909735654416506
E16a,0.5,people,4631,0.7447635499892032,1182,391,0.08443100842150723,0.33079526226734346,85,0.018354567048153747,0.07191201353637902,422,0.09112502699201036,0.3570219966159052,133,0.028719499028287628,0.11252115059221658,151,0.03260634852083783,0.12774957698815567,3449,0.7447635499892032,2.9179357021996615,0.4289340101522843
E16a,0.5,tricycle,621,0.5764895330112721,263,19,0.030595813204508857,0.07224334600760456,48,0.07729468599033816,0.18250950570342206,150,0.24154589371980675,0.5703422053231939,13,0.020933977455716585,0.049429657794676805,33,0.05314009661835749,0.12547528517110265,358,0.5764895330112721,1.361216730038023,0.752851711026616
E16a,0.5,truck,289,0.47058823529411764,153,9,0.031141868512110725,0.058823529411764705,25,0.08650519031141868,0.16339869281045752,105,0.3633217993079585,0.6862745098039216,9,0.031141868512110725,0.058823529411764705,5,0.01730103806228374,0.032679738562091505,136,0.47058823529411764,0.8888888888888888,0.8496732026143791
