model,size_bin,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E16a,24-32,0.75,6035,3904,0.6468931234465617,0.6646230323115162,0.7386909693454847,2131,106,447,1,1577,77.40388930441287,34.0,173.0,0.5668737473477368,0.5817907839835124,0.04974190520882215,0.20976067573908963,0.0004692632566870014,0.7400281557954013
E16a,8-16,0.75,9532,3169,0.3324590851867394,0.3423206042803189,0.39970625262274445,6363,92,547,2,5722,98.99448360404536,55.0,229.0,0.4326250784601368,0.44473091249644986,0.01445858871601446,0.08596573943108597,0.0003143171460003143,0.8992613547068993
E21a,0-8,0.5,2423,1310,0.540652084193149,0.5617003714403632,0.684275691291787,1113,45,297,6,765,134.49963262307128,83.0,315.0,0.24265858041788715,0.24895254760982383,0.04043126684636118,0.2668463611859838,0.005390835579514825,0.6873315363881402
E21a,16-24,0.5,8596,7368,0.8571428571428571,0.8863424848766869,0.9717310376919498,1228,219,734,32,243,94.84853655335345,50.0,216.19999999999982,0.4708809828971256,0.4808868147311712,0.1783387622149837,0.5977198697068404,0.026058631921824105,0.1978827361563518
E21a,24-32,0.5,6035,5243,0.8687655343827672,0.895940347970174,0.9734879867439934,792,148,468,16,160,81.28796005178472,38.0,178.0,0.5391376367106566,0.5510287079615058,0.18686868686868688,0.5909090909090909,0.020202020202020204,0.20202020202020202
E21a,8-16,0.5,9532,7182,0.753462022660512,0.7854595048258498,0.9057910197230382,2350,258,1147,47,898,115.4863096033124,66.0,267.40000000000055,0.374690392425321,0.3843824642275848,0.1097872340425532,0.48808510638297875,0.02,0.3821276595744681
E21a,0-8,0.75,2423,302,0.12463887742468015,0.12835328105654148,0.1522905489063145,2121,9,58,0,2054,117.2250803858521,70.0,281.0,0.28827970824241816,0.29609753287108986,0.004243281471004243,0.027345591702027345,0.0,0.9684111268269684
E21a,16-24,0.75,8596,4588,0.5337366216845044,0.552349930200093,0.6195905072126571,4008,156,578,4,3270,90.46335299073294,44.0,203.0,0.5074797092226672,0.5242308476140927,0.038922155688622756,0.1442115768463074,0.000998003992015968,0.8158682634730539
E21a,24-32,0.75,6035,3856,0.6389395194697597,0.6581607290803645,0.7290803645401823,2179,113,428,3,1635,76.05110775427995,33.0,168.9000000000001,0.5768640577397274,0.5933715131316327,0.051858650757228085,0.1964203763194126,0.0013767783386874712,0.7503441945846718
E21a,8-16,0.75,9532,3224,0.33822912295425933,0.34913973982375157,0.4067352077213596,6308,98,549,6,5655,103.73167067307692,57.0,243.0,0.42292164019772827,0.43507046909889013,0.015535827520608751,0.08703233988585922,0.0009511731135066582,0.8964806594800253
