model,class,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E5a,tricycle,0.75,621,209,0.3365539452495974,0.3494363929146538,0.5507246376811594,412,8,125,0,279,121.58986175115207,67.0,345.40000000000003,0.37157450597100217,0.3856289577001982,0.019417475728155338,0.30339805825242716,0.0,0.6771844660194175
E5a,truck,0.75,289,88,0.3044982698961938,0.31833910034602075,0.5847750865051903,201,4,77,0,120,92.93478260869566,36.5,250.8000000000004,0.39542726593461575,0.4131519657173406,0.01990049751243781,0.38308457711442784,0.0,0.5970149253731343
E5a,van,0.75,937,311,0.3319103521878335,0.33724653148345785,0.6680896478121665,626,5,310,0,311,73.02848101265823,43.0,153.5,0.5128721121353793,0.5210270413625806,0.007987220447284345,0.4952076677316294,0.0,0.4968051118210863
E10a,awning-tricycle,0.5,305,134,0.43934426229508194,0.4819672131147541,0.9573770491803278,171,13,145,0,13,180.7482993197279,89.0,470.60000000000014,0.27571915558517157,0.30191140556916485,0.07602339181286549,0.847953216374269,0.0,0.07602339181286549
E10a,bicycle,0.5,1053,633,0.6011396011396012,0.6790123456790124,0.8717948717948718,420,77,203,5,135,214.26573426573427,127.0,533.8000000000002,0.2452343862389794,0.2703026955977441,0.18333333333333332,0.48333333333333334,0.011904761904761904,0.32142857142857145
E10a,bus,0.5,116,62,0.5344827586206896,0.5689655172413793,0.896551724137931,54,4,38,0,12,123.65151515151516,43.5,296.0,0.43754434050766355,0.46245490797164457,0.07407407407407407,0.7037037037037037,0.0,0.2222222222222222
E10a,car,0.5,6910,6380,0.9232995658465991,0.9376266280752532,0.9526772793053545,530,92,104,7,327,67.99320882852292,37.0,142.19999999999982,0.5463997078773609,0.5530580819735513,0.17358490566037735,0.19622641509433963,0.013207547169811321,0.6169811320754717
E10a,motor,0.5,3978,3388,0.8516842634489693,0.8720462543991956,0.9507290095525389,590,73,313,8,196,93.58489478235803,56.0,188.0,0.395008864258565,0.4011392208088245,0.12372881355932204,0.5305084745762711,0.013559322033898305,0.33220338983050846
E10a,pedestrian,0.5,7746,6185,0.7984766331009553,0.8405628711593081,0.9035631293570875,1561,281,488,45,747,120.35616648748272,64.0,292.0,0.4048953653966225,0.41800992645292406,0.1800128122998078,0.3126201153106983,0.028827674567584883,0.478539397821909
E10a,people,0.5,4631,3373,0.7283524076873246,0.7678687108615849,0.8693586698337292,1258,155,470,28,605,118.18363329583802,61.0,283.0,0.3717559432675101,0.37978465666461836,0.1232114467408585,0.37360890302066774,0.022257551669316374,0.4809220985691574
E10a,tricycle,0.5,621,356,0.573268921095008,0.607085346215781,0.9227053140096618,265,21,196,0,48,136.82228116710874,74.0,346.00000000000034,0.3223012589215886,0.34088240104781076,0.07924528301886792,0.7396226415094339,0.0,0.1811320754716981
E10a,truck,0.5,289,137,0.4740484429065744,0.5121107266435986,0.9273356401384083,152,10,120,1,21,138.32432432432432,60.5,410.20000000000084,0.2968948667812337,0.31551649126251413,0.06578947368421052,0.7894736842105263,0.006578947368421052,0.13815789473684212
E10a,van,0.5,937,390,0.41622198505869795,0.43009605122732125,0.9701173959445037,547,12,506,1,28,81.22828784119106,47.0,144.60000000000002,0.49290899147173256,0.505405934398564,0.021937842778793418,0.9250457038391224,0.0018281535648994515,0.051188299817184646
E10a,awning-tricycle,0.75,305,89,0.29180327868852457,0.29508196721311475,0.5606557377049181,216,1,81,0,134,112.64444444444445,70.5,277.90000000000015,0.34457857564298644,0.34838743155738444,0.004629629629629629,0.375,0.0,0.6203703703703703
E10a,bicycle,0.75,1053,267,0.2535612535612536,0.28679962013295346,0.40550807217473883,786,34,125,1,626,200.1523178807947,111.0,540.7000000000005,0.28724401721550424,0.32218620914979823,0.043256997455470736,0.15903307888040713,0.001272264631043257,0.7964376590330788
E10a,bus,0.75,116,50,0.43103448275862066,0.43103448275862066,0.5172413793103449,66,0,10,0,56,60.9,35.0,136.70000000000002,0.5183728234656155,0.5183728234656155,0.0,0.15151515151515152,0.0,0.8484848484848485
E10a,car,0.75,6910,4516,0.6535455861070911,0.6632416787264833,0.6774240231548481,2394,67,98,0,2229,58.16779402138337,30.0,111.0,0.6084689705320645,0.6171873421774805,0.027986633249791143,0.04093567251461988,0.0,0.931077694235589
E10a,motor,0.75,3978,1731,0.43514328808446456,0.4482151835093012,0.5095525389643036,2247,52,244,0,1951,97.29108244531689,51.0,218.0,0.424087737336315,0.43635281772173323,0.023141967067200713,0.10858923008455719,0.0,0.8682688028482421
E10a,pedestrian,0.75,7746,3137,0.40498321714433255,0.42241156726052154,0.465143299767622,4609,130,331,5,4143,106.86124694376528,54.0,251.9000000000001,0.45769029953019624,0.4758055130092001,0.02820568453026687,0.07181601215014102,0.0010848340203948796,0.8988934692991972
E10a,people,0.75,4631,1530,0.33038220686676745,0.349600518246599,0.3949470956596847,3101,84,210,5,2802,125.56269302038295,58.0,317.20000000000005,0.37828093469210505,0.39719863406069017,0.02708803611738149,0.06772009029345373,0.0016123831022250886,0.9035794904869398
E10a,tricycle,0.75,621,201,0.32367149758454106,0.3397745571658615,0.5668276972624798,420,10,141,0,269,120.66350710900474,65.0,313.0,0.38774042727891356,0.4066747594532089,0.023809523809523808,0.3357142857142857,0.0,0.6404761904761904
